title,author,isbn,oclcNumber,publisher,publishedDate,description,costPrice,sellPrice,memberPrice,currency,stockQuantity,reorderLevel,stockStatus,categoryName,subjectNames,coverImageUrl,isDigital,downloadUrl,fileSize
Remember Kronstadt: One Hundred Years On,,9781914567032,,Active Distribution,,,,1.50,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Tear Down the Bastille. Voices From Inside the Walls. Hunger Strike as a Means of Struggle.,,,,Revolt Press,,,,5.00,,GBP,4,,IN_STOCK,Anarchism,,,false,,
Islam and Anarchism. Relationships and Resonances.,Mohamed Abdou,9780745341927,,Pluto Press,,,,19.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
"We Are Anarchists. Essays on Anarchism, Pacifism, and the Indian Independence Movement, 1923-1953.",M. P. T. Acharya,9781849353427,,AK Press,,,,14.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Their Wars -- Our Dead. Anarchist Reflections on Anti-militarism.,Alex Alder & Bill Beech (eds),9781914567742,,Active Distribution,,,,5.00,,GBP,9,,IN_STOCK,Anarchism,,,false,,
Hungary '56.,Andy Anderson,0948984147,,Phoenix Press,,,,3.95,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Enemy is Middle Class.,Andy Anderson & Mark Anderson,0953255204,,Openly Classist,,,,4.00,,GBP,2,,IN_STOCK,Anarchism,,,false,,
History of the Makhnovist Movement 1918-1921,Peter Arshinov,9780900384400,,Freedom Press,,,,9.90,,GBP,1,,IN_STOCK,Anarchism,,,false,,
An American Anarchist. The Life of Voltarine de Cleyre,Paul Avrich,9781849352680,,AK Press,,,,14.95,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Order Without Power. An Introduction to Anarchism: History & Current Challenges.,Normand Baillargeon,9781609804718,,Seven Stories Press,,,,11.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Bakunin & Nechaev,Paul Avrich,0900384093,,Freedom Press,,,,0.75,,GBP,5,,IN_STOCK,Anarchism,,,false,,
Means and Ends: The Revolutionary Practice of Anarchism in Europe and the United States.,Zoe Baker,9781849354981,,AK Press,,,,21.00,,GBP,2,,IN_STOCK,Anarchism,,,false,,
A Critique of State Socialism,Michael Bakunin & Richard Warren,9781873976456,,Read & Noir,,,,12.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
God and the State,Mikhail Aleksandrovich Bakunin,9781548059651,,Anondos Books,,,,3.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
God and the State,Mikhail Bakunin,9781909798236,,Active Distribution,,,,3.00,,GBP,2,,IN_STOCK,Anarchism,,,false,,
Bakunin: Selected texts 1868-1875,Mikhail Bakunin. A W Zurbrugg (ed and trans),9780850367225,,Anarres Editions,,,,18.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Our Masters Are Helpless. The Essays of George Barrett,George Barrett. Iain McKay (ed),9781904491323,,Freedom Press,,,,7.50,,GBP,3,,IN_STOCK,Anarchism,,,false,,
Rebellion in Patagonia,Osvaldo Bayer. Paul Sharkey & Joshua Neuhouser (trans),9781849352215,,AK Press,,,,17.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Prison Memoirs of an Anarchist,Alexander Berkman,9781849352529,,AK Press,,,,19.50,,GBP,1,,IN_STOCK,Anarchism,,,false,,
What is Anarchism?,Alexander Berkman,9781902593708,,AK Press,,,,12.50,,GBP,1,,IN_STOCK,Anarchism,,,false,,
ABC of Anarchism,Alexander Berkman,9780900384035,,Freedom Press,,,,6.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Now and After. The ABC of Communist Anarchism,Alexander Berkman,9781849355926,,AK Press,,,,15.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The State -- Or Revolution. Selected Works by Camillo Berneri,Camillo Berneri. Iain McKay (ed),9781904491415,,Freedom Press,,,,10.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
A History of the French Anarchist Movement 1917-1945,David Berry,9781904859826,,AK Press,,,,15.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The July Revolution: Barcelona 1909,Leopoldo Bonafulla,9781849354103,,AK Press,,,,14.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Anarchist Turn,"Jacob Blumenfeld, Chiara Bottici & Simon Critchley (eds)",9780745333427,,Pluto Press,,,,27.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Spanish Anarchists: the Heroic Years 1868-1936,Murray Bookchin,9781873176047,,AK Press,,,,13.95,,GBP,1,,IN_STOCK,Anarchism,,,false,,
To Remember Spain: The Anarchist and Syndicalist Revolution of 1936,Murray Bookchim,9781873176870,,AK Press,,,,5.95,,GBP,2,,IN_STOCK,Anarchism,,,false,,
Practical Anarchism: A Guide for Daily Life,Shuli Branson,9780745344928,,Pluto Press,,,,14.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
For Workers' Power. The Selected Writings of Maurice Brinton,Maurice Brinton,9781849353830,,AK Press,,,,18.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Tom Brown's Syndicalism,Tom Brown,0948984163,,Phoenix Press,,,,3.95,,GBP,10,,IN_STOCK,Anarchism,,,false,,
Revolution,Carlo Cafiero,9781926878119,,Black Cat Press,,,,7.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchism in Latin America,Ángel J. Cappelletti. Gabriel Palmer-Fernández (trans),9781849352826,,AK Press,,,,17.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
"We, The Anarchists! A Study of the Iberian Anarchist Federation (FAI) 1927-1937",Stuart Christie,9781904859758,,AK Press,,,,9.95,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Pacifism as Pathology. Reflections on the Role of Armed Struggle in North America.,Ward Churchill with Mike Ryan,9781904859185,,AK Press,,,,8.00,,GBP,2,,IN_STOCK,Anarchism,,,false,,
Gramsci is Dead. Anarchist Currents in the Newest Social Movements,Richard J. F. Day,9780745321127,,Between the Lines & Pluto Press,,,,27.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
"Anarchism and the City. Revolution and Counter-Revolution in Barcelona, 1898-1937.",Chris Ealham,9781849350129,,AK Press,,,,17.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Living Anarchism. José Pierats and the Spanish Anarcho-Syndicalist Movement.,Chris Ealham,9781849352383,,AK Press,,,,15.00,,GBP,2,,IN_STOCK,Anarchism,,,false,,
The First Socialist Schism. Bakunin vs. Marx in the International Working Men's Association.,"Wolfgang Eckhardt. Robert M. Homsi, Jesse Cohn, Cian Lawless, Nestor McNabb & Bas Moreel (trans)",9781629630427,,PM Press & Thought Crime Ink,,,,28.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Disaster Anarchy. Mutual Aid and Radical Action,Rhiannon Firth,9780745340463,,Pluto Press,,,,22.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchy Works. Examples of Anarchist Ideas in Practice,Peter Genderloos,9781909798052,,Active Distribution,,,,6.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
They Will Beat the Memory Out Of Us. Forcing Non-Violence on Forgetful Movements.,Peter Genderloos,9780745349770,,Pluto Press,,,,14.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Sons of Night. Antoine Gimenez's Memories of the War in Spain,Antoine Gimenez. The Giménologues (eds) & Paul Sharkey (trans),9781849353083,,AK Press & KSL,,,,23.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchy Alive! Anti-Authoritarian Politics from Practice to Theory,Uri Gordon,9780745326832,,Pluto Press,,,,24.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Living My Life. Volume 1.,Emma Goldman,9781909798175,,Active Distribution,,,,6.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Living My Life. Volume 2,Emma Goldman,9781909798182,,Active Distribution,,,,6.00,,GBP,3,,IN_STOCK,Anarchism,,,false,,
Living My Life. Volume 3,Emma Goldman,9781909798199,,Active Distribution,,,,6.00,,GBP,3,,IN_STOCK,Anarchism,,,false,,
Anarchism and Other Essays,Emma Goldman,9781909798373,,Active Distribution,,,,5.00,,GBP,5,,IN_STOCK,Anarchism,,,false,,
Anarchism and Other Essays,Emma Goldman,9781849355681,,AK Press,,,,14.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Conviviality & Political Resistance From Below. Ivan Illich's Legacy in Mexico,Elías González Gómez,9783911720069,,Active Distribution/Rupture Press,,,,8.00,,GBP,2,,IN_STOCK,Anarchism,,,false,,
William Godwin a Political Life,Richard Gough Thomas,9780745338354,,Pluto Press,,,,16.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
We Do Not Fear Anarchy. We Invoke It. The First International and the Origins of the Anarchist Movement,Robert Graham,9781849352116,,AK Press,,,,17.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchism: From Theory to Practice,Daniel Guerin,9780853451754,,Monthly Review,,,,9.99,,GBP,2,,IN_STOCK,Anarchism,,,false,,
The Friends of Durruti Group: 1937-1939,Agustin Guillamón,9781873176542,,AK Press,,,,8.95,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Insurrection: The Bloody Events of May 1937,Agustin Guillamón,9781849353601,,AK Press & KSL,,,,20.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchy A Graphic Guide,Clifford Harper,,,Anne Bonny Books,,,,6.00,,GBP,5,,IN_STOCK,Anarchism,,,false,,
ABC's of Anarchy,Brian Heagney,9781909798588,,Active Distribution,,,,6.00,,GBP,5,,IN_STOCK,Anarchism,,,false,,
"The Idea. Anarchist Communism: Past, Present and Future.",Nick Heath,9781739723712,,Just Books Publishing,,,,15.00,,GBP,10,,IN_STOCK,Anarchism,,,false,,
As If Already Free. Anthropology and Activism After David Graeber.,Holly High & Joshua O. Reno (eds),9780745348452,,Pluto Press,,,,22.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Change the World Without Taking Power,John Holloway,9780745339320,,Pluto Press,,,,24.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Change the World Without Taking Power,John Holloway,9780745329185,,Pluto Press,,,,17.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Anarchist Quiz Book,Martin Howard,9781904491071,,Freedom Press,,,,5.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Society Despite the State. Reimagining Geographies of Order.,Anthony Ince & Gerónimo Barrera de la Torre,9780745341248,,Pluto Press,,,,24.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
"Mutual Aid, Everyday Anarchy. Essays on Colin Ward",Andrew Kelly (ed),9781915434227,,Five Leaves Publications,,,,10.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchist Popular Power: Dissident Labor and Armed Struggle in Uruguay 1956-76,Troy Andreas Ariaza Kokinis,9781849355001,,AK Press,,,,21.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Ex Archeia Free Zone Calling. From 1850 to Nowadays,Nikos Koufopoulos & Nikolas Agathos,9789609797665,,The Colleagues' Publications,,,,7.50,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchism and the State.,Peter Kropotkin,9781904491262,,Freedom Press,,,,6.00,,GBP,2,,IN_STOCK,Anarchism,,,false,,
The Conquest of Bread Part 1 & 2,Peter Kropotkin,9781914567520,,Active Distribution,,,,3.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Conquest of Bread,Peter Kropotkin,9781849355742,,AK Press,,,,15.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Mutual Aid a Factor in Evolution,Peter Kropotkin,9781904491101,,Freedom Press,,,,15.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Peter Kropotkin. Modern Science and Anarchy.,Peter Kropotkin. Iain McKay (ed),9781849352741,,AK Press,,,,19.95,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Great French Revolution 1789-1793,Peter Kropotkin,9781629638768,,PM Press,,,,24.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Collectives in the Spanish Revolution,Gaston Leval,9781629634470,,"PM Press, Freedom Books, Jura Books",,,,23.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Changing the world from above: the limits of progressivism,Decio Machado & Raul Zibechi,9783911720038,,Active Distribution/Rupture Press,,,,7.00,,GBP,5,,IN_STOCK,Anarchism,,,false,,
At the Café. Conversations on Anarchism,Errico Malatesta,9781904491064,,Freedom Press,,,,7.50,,GBP,2,,IN_STOCK,Anarchism,,,false,,
The Method of Freedom. An Errico Malatesta Reader,Errico Malatesta. Davide Turcato (ed). Paul Sharkey (trans),9781849351447,,AK Press,,,,18.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Complete Works of Malatesta Vol III. A Long and Patient Work. The Anarchist Socialism of L'Agitazione 1897-1898,Errico Malatesta. Davide Turcato (ed). Paul Sharkey (trans),9781849352581,,AK Press,,,,19.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Complete Works of Malatesta Vol IV. Towards Anarchy. Malatesta in America 1899-1900,Errico Malatesta. Davide Turcato (ed). Paul Sharkey (trans),,,AK Press,,,,,,,,,,Anarchism,,,false,,
A Grand Cause. The Hunger Strike and the Deportation of Anarchists From Soviet Russia,Gregori Petrovich Maximoff,9781873605745,,KSL,,,,4.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Constructive Anarchism,Gregori Petrovich Maximoff,9781739723705,,Just Books Publishing,,,,7.50,,GBP,10,,IN_STOCK,Anarchism,,,false,,
The Anarchists in London 1935-55,Albert Meltzer,9781904491293,,Freedom Press,,,,7.00,,GBP,3,,IN_STOCK,Anarchism,,,false,,
Anarchism: Arguments for and Against.,Albert Meltzer,9781914567223,,Active Distribution,,,,2.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
I Couldn't Paint Golden Angels,Albert Meltzer,9781873176931,,AK Press,,,,12.95,,GBP,2,,IN_STOCK,Anarchism,,,false,,
The International Revolutionary Solidarity Movement: 1^st^ of May Group,Albert Meltzer (ed),9781909798458,,Active Distribution/Elephant Editions,,,,3.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Taking Sides. Revolutionary Solidarity and the Poverty of Liberalism,Cindy Milstein (ed),9781849352321,,AK Press,,,,,,,,,,Anarchism,,,false,,
Anarchism and it's Aspirations,Cindy Milstein,9781849350013,,AK Press & Institute for Anarchist Studies,,,,9.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Storm in my Heart. Memories from the Widow of Johann Most,Helene Minkin. Tom Goyens (ed) & Alisa Braun (trans),9781849351973,,AK Press,,,,12.50,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchism and Workers' Self-Management in Revolutionary Spain.,Frank Mintz. Paul Sharkey (trans),9781849350785,,AK Press,,,,13.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
A Defence of Anarchist Communism,Brian Morris,9781904491392,,Freedom Press,,,,5.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
We Are All Anarchists. Anarchist Writings of Lucy E. Parsons.,Lucy E. Parsons,,,Sto citaz,,,,10.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anything Can Happen,Freddy Perlman,0948984228,,Pheonix Press,,,,4.50,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Machine and it's Discontents. A Freddy Perlman Anthology,Freddy Perlman. Darren Poynton (ed),9780995660977,,Active Distribution & Theory and Practice,,,,7.00,,GBP,2,,IN_STOCK,Anarchism,,,false,,
The Slow Burning Fuse. Secret History of the British Anarchists,John Quail,9781904491279,,Freedom Press,,,,13.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
A Beautiful Idea. History of the Freedom Press Anarchists,Rob Ray,9781904491309,,Freedom Press,,,,9.50,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchism and Anarcho-Syndicalism,Rudolph Rocker,9781904491224,,Freedom Press & SolFed,,,,4.00,,GBP,4,,IN_STOCK,Anarchism,,,false,,
Anarcho-Syndicalism,Rudolph Rocker,9780745313870,,Pluto Press,,,,24.99,,GBP,2,,IN_STOCK,Anarchism,,,false,,
Haymarket Scrapbook Anniversary Edition,Franklin Rosemount & David Roediger. Charles H,9781849350808,,Kerr Publishing Company & AK Press,,,,18.95,,GBP,2,,IN_STOCK,Anarchism,,,false,,
A Towering Flame. The Life and Times of the Elusive Latvian Anarchist Peter the Painter.,Philip Ruff,9780992946654,,Breviary Stuff,,,,17.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Anarchy in the USSR. A New Beginning,Philip Ruff (ed),1872258069,,ASP,,,,3.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
The Albert Memorial. The Anarchist Life and times of Albert Meltzer (7 January 1920 -- 7 May 1996).,,9781849352802,,KSL & AK Press,,,,8.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Paradoxes of Utopia. Anarchist Culture and Politics in Buenos Aires 1890-1910.,Juan Suriano. Chuck Morse (trans),9781849350068,,AK Press,,,,14.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Luigi Galleani: the Most Dangerous Anarchist in America,Antonio Senta. Andrea Asali & Sean Sayers (trans),9781849353489,,AK Press,,,,14.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
American Anarchism,Steve J. Shone,9781608464173,,Haymarket Books,,,,24.99,,GBP,2,,IN_STOCK,Anarchism,,,false,,
Fighting For Ourselves. Anarcho-Syndicalism and the Class Struggle,,9781904491200,,Solidarity Federation,,,,5.00,,GBP,1,,IN_STOCK,Anarchism,,,false,,
May Days Barcelona 1937,Augustin Souchy et. al,0900384395,,Freedom Press,,,,5.95,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Rethinking Anarchy,Carlos Taibo. The Autonomies Collective (trans),9781849353328,,AK Press,,,,10.95,,GBP,1,,IN_STOCK,Anarchism,,,false,,
"Making Sense of Anarchism. Errico Malatesta's Experiments With Revolution, 1889-1900",Davide Turcato,9781849352314,,AK Press,,,,14.00,,GBP,2,,IN_STOCK,Anarchism,,,false,,
To Rob a Bank is an Honor. Lucio Urtubia,Paul Sharkey (trans),9781849355780,,AK Press,,,,18.00,,GBP,4,,IN_STOCK,Anarchism,,,false,,
The Seizure of State Power,Michael Velli,0948984236,,Phoenix Press,,,,4.50,,GBP,2,,IN_STOCK,Anarchism,,,false,,
The Unknown Revolution,Voline,9780919618251,,Black Rose Books,,,,19.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Bookchin: a Critical Appraisal,Damian F. White,9780745319643,,Pluto Press,,,,27.99,,GBP,1,,IN_STOCK,Anarchism,,,false,,
Charlotte Wilson: Anarchist Essays.,Charlotte Wilson. Nicholas Walter (ed),9780900384998,,Freedom Press,,,,5.95,,GBP,2,,IN_STOCK,Anarchism,,,false,,
The Stalinist Legacy. It's Impact on Twentieth-Century World Politics,Traiq Ali (ed),9781608462193,,Haymarket Books,,,,21.99,,GBP,1,,IN_STOCK,Marxisms,,,false,,
"Social Reproduction Theory. Remapping Class, Recentring Oppression",Tithi Bhattacharya (ed),9780745399881,,Pluto Press,,,,19.99,,GBP,1,,IN_STOCK,Marxisms,,,false,,
Revolution Today,Susan Buck-Morss,9781608466795,,Haymarket Books,,,,14.99,,GBP,1,,IN_STOCK,Marxisms,,,false,,
Anti-Capitalist Britain,John Carter & Dave Moreland (eds),9781873797433,,New Clarion Press,,,,12.99,,GBP,1,,IN_STOCK,Marxisms,,,false,,
"Rupturing the Dialectic. The Struggle Against Work, Money, and Financialization",Harry Cleaver,9781849352703,,AK Press,,,,16.50,,GBP,1,,IN_STOCK,Marxisms,,,false,,
33 Lessons on Capital. Reading Karl Marx Politically,Harry Cleaver,9780745339979,,Pluto Press,,,,24.99,,GBP,1,,IN_STOCK,Marxisms,,,false,,
Obsolete Communism. The Left-Wing Alternative,Daniel & Gabriel Cohn-Bendit,9781902593258,,AK Press,,,,12.00,,GBP,1,,IN_STOCK,Marxisms,,,false,,
The Eclipse and Re-Emergence of the Communist Movement,Gilles Dauvé & Francois Martin,,,Antagonism Press,,,,3.00,,GBP,1,,IN_STOCK,Marxisms,,,false,,
Bordiga Beyond The Myth,Onorato Damen,9780993580505,,Prometheus Publications,,,,9.00,,GBP,2,,IN_STOCK,Marxisms,,,false,,
What Was Neoliberalism? Studies in the Most Recent Phase of Capitalism 1973-2008,Neil Davidson,9781642599152,,Haymarket Books,,,,18.99,,GBP,1,,IN_STOCK,Marxisms,,,false,,
Russia. Revolution and Counter Revolution 1905-1924. A View From The Communist Left,Jock Dominic,9780993580536,,Prometheus Publications,,,,12.00,,GBP,2,,IN_STOCK,Marxisms,,,false,,
The Condition of the Working Class in England,Frederick Engels,9780853155935,,Lawrence & Wishart,,,,14.00,,GBP,1,,IN_STOCK,Marxisms,,,false,,
Critical Thought in the Face of the Capitalist Hydra I. Contributions by the Sixth Commission of the EZLN,EZLN,9780979799327,,Paper Boat Press,,,,16.99,,GBP,1,,IN_STOCK,Marxisms,,,false,,
