title,author,isbn,oclcNumber,publisher,publishedDate,description,costPrice,sellPrice,memberPrice,currency,stockQuantity,reorderLevel,stockStatus,categoryName,subjectNames,coverImageUrl,isDigital,downloadUrl,fileSize
Abolish Carceral Society,Abolition Collective,9781942173083,,Common Notions,,,,12.95,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
"Abolishing State Violence. A World Beyond Bombs, Borders, and Cages",Ray Acheson,9781642596939,,Haymarket Books,,,,17.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The Cost of Free Shipping. Amazon in the Global Economy,Jake Alimahomed-Wilson & Ellen Reese (eds),9780745341484,,Pluto Press,,,,20.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The New Poverty,Stephen Armstrong,9781786634634,,Verso,,,,12.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The Class Strikes Back. Self-Organised Workers' Struggles in the Twenty-First Century,,9781608460168,,Haymarket Books,,,,30.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Education And Capitalism. Struggles for Learning and Liberation.,,9781608461479,,Haymarket Books,,,,16.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Revolutionary Rehearsals In The Neoliberal Age,"Colin Barker, Gareth Dale & Neil Davidson (eds)",9781642594683,,,,,,19.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
"Their End is Our Beginning. Cops, Capitalism, and Abolition",Brian Bean,9798888903735,,Haymarket Books,,,,16.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Rednecks and Barbarians. Uniting the White and Racialized Working Class,Houria Bouteldja,9780745349558,,Pluto Press,,,,16.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
"Emergent Strategy. Shaping Change, Changing Worlds",Adrienne Maree Brown,9781849352604,,AK Press,,,,12.50,,GBP,2,,IN_STOCK,Politics/Current Affairs,,,false,,
Squatting London. The Politics of Property,Samuel Burgum,9780745341439,,Pluto Press,,,,24.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The Squatters' Movement in Europe. Commons and Autonomy as Alternatives to Capitalism,Claudio Cattaneo & Miguel A. Martinez,9780745333953,,Pluto Press,,,,27.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
"The Precipice. Neoliberalism, the Pandemic and the Urgent Need for Social Change.",Noam Chomsky,9781642594584,,Haymarket Books,,,,12.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
On Western Terrorism. From Hiroshima to Drone Warfare,Noam Chomsky & Andre Vltchek,9780745399317,,Pluto Press,,,,19.99,,GBP,2,,IN_STOCK,Politics/Current Affairs,,,false,,
Divided World Divided Class. Global Political Economy and the Stratification of Labour Under Capitalism,Zak Cope,9781894946681,,Kersplebedeb,,,,18.95,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
A-Z of green Capitalism. Corporate Watch,,9781907738227,,,,,,9.99,,GBP,2,,IN_STOCK,Politics/Current Affairs,,,false,,
The UK Border Regime: a Critical Guide,,9781907738241,,Corporate Watch,,,,10.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Bananeras. Women Transforming the Banana Unions of Latin America,Dana Frank,9781608465354,,Haymarket Books,,,,,,,,,,Politics/Current Affairs,,,false,,
Invisible. A Diary of Rough Sleeping in Britain,Andrew Frazer,9781904491316,,Freedom Press,,,,10.00,,GBP,3,,IN_STOCK,Politics/Current Affairs,,,false,,
"Vagabonds 003. We Are 'Nature' Defending Itself. Entangling Art, Activism and Autonomous Zones",Isabelle Fremeaux & Jat Jordan,9780745345871,,Pluto Press,,,,14.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The Age of Inequality. Corporate America's War on Working People,Jeremy Gantz (ed),9781786631145,,Verso,,,,14.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Vagabond 007. Pirate Care. Acts Against The Criminalization of Solidarity,"Valeria Graziano, Marcell Mars, & Tomislav Medak",9780745349800,,Pluto Press,,,,14.99,,GBP,2,,IN_STOCK,Politics/Current Affairs,,,false,,
Dancing With Dynamite. Social Movements and States in Latin America,Benjamin Dangl,9781849350150,,AK Press,,,,12.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
"Culpable. Deregulation, Austerity and the Causes of the Grenfell Tower Fire",Paul Hampton,9780745351025,,Pluto Press,,,,19.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The Trouble with National Action,Mark Hayes,9781904491347,,Freedom Press,,,,5.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
"Essential Work Disposable Workers. Migration, Capitalism, Class",Mostafa Henaway,9781773632254,,Fernwood Publishing,,,,18.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The Zapatistas' Dignified Rage. Final Public Speeches of Subcommander Marcos,Nick Henck (ed),9781849352925,,AK Press,,,,15.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Beyond Cop Cites. Dismantling State and Corporate-Funded Armies and Prisons.,Joy James (ed),9780745350486,,Pluto Press,,,,9.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Chavs The Demonization of The Working Class,Owen Jones,9781839760921,,Verso,,,,9.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Worth Fighting For. Bringing the Rojava Revolution Home,Jenni Keasden & Natalia Szarek,9781914567216,,Active Distribution,,,,7,,GBP,2,,IN_STOCK,Politics/Current Affairs,,,false,,
The Battle For Paradise. Puerto Rico Takes on the Disaster Capitalists.,Naomi Klein,9781608463572,,Haymarket Books,,,,8.99,,GBP,7,,IN_STOCK,Politics/Current Affairs,,,false,,
We are Millions. Neo-Liberalism and New Forms of Political Action in Argentina.,Marcela López Levy,9781899365630,,Latin American Bureau,,,,8.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
"Solito, Solita. Crossing Borders with Youth Refugees from Central America.",Steven Mayers & Jonathan Freedman (eds),9781608466184,,Haymarket Books,,,,24.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The Essence Of Capitalism. The Origins of Our Future.,Humphrey McQueen,9781551642208,,Black Rose Books,,,,12.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Monstrous Anger of the Guns. How the Global Arms Trade Is Ruining The World and What We Can Do About It,"Rhona Michie, Andrew Feinstein & Paul Rogers",9780745350363,,Pluto Press,,,,12.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Southern Insurgency. The Coming Of The Global Working Class,Immanuel Ness,9780745335995,,Pluto Press,,,,24.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Rubbish Belongs to the Poor. Hygienic Enclosure and the Waste Commons.,Patrick O'Hare,9780745341408,,Pluto Press,,,,19.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Scattered Sand. The Story of China's Rural Migrants,Hsiao-Hung Pai,9781844678860,,Verso,,,,16.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Into The Tempest. Essays on the New Global Capitalism,William I. Robinson,9781608469666,,Haymarket Books,,,,19.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Abolish Rent,Tracy Rosenthal & Leonardo Vilchis,9788888902523,,Haymarket Books,,,,14.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
As Black As Resistance. Finding the Conditions for Liberation,Zoé Samudzi & William C. Anderson,9781849353168,,AK Press,,,,13.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Us Politics in an Age of Uncertainty. Essays on a New reality,Lance Selfa (ed),9781608468539,,Haymarket Books,,,,16.99,,GBP,2,,IN_STOCK,Politics/Current Affairs,,,false,,
"The End of The World As We Know It? Crisis, Resistance, and the Age of Austerity",Deric Shannon (ed),9781849351867,,AK Press,,,,18.95,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The No-Nonsense Guide to International Migration,Peter Stalker,9781904456940,,New Internationalist,,,,7.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The Fair Trade Scandal. Marketing Poverty to Benefit the Rich,Ndongo S. Sylla,9780745334240,,Pluto Press,,,,19.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
From #Blacklivesmatter to Black Liberation.,Keeanga-Yamahtta Taylor,9781608465620,,Haymarket Books,,,,15.99,,GBP,2,,IN_STOCK,Politics/Current Affairs,,,false,,
"Vagabonds 002. The Hologram. Feminist, Peer-to-Peer Health for a Post- Pandemic Future",Cassie Thornton,9780745343327,,Pluto Press,,,,14.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Revolt And Crisis In Greece. Between a Present Yet to Pass and a Future Still to Come,Antonis Vradis & Dimitris Dalakoglou,,,Occupied London,,,,10.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
"Extracting Profit. Imperialism, Neoliberalism, and the New Scramble for Africa",Lee Wengraf,9781608468515,,Haymarket Books,,,,15.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Thinking Beyond War. Civil-Military Relations and Why America Fails to Win the Peace,Isaiah Wilson,9781137344427,,Palgrave Macmillan,,,,29.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
"Sexuality And Socialism. History, Politics, and Theory of LGBT Liberation",Sherry Wolf,9781931859790,,Haymarket Books,,,,16.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Crisis and Control. The Militarization of Protest Policing,Lesley J. Wood,9780745333885,,Pluto Press,,,,26.99,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
The Debt System. A History of Sovereign Debts and Their Repudiation,Éric Toussaint,9781608463091,,Haymarket Books,,,,15.00,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Why Don\'t The Poor Rise Up? Organizing the Twenty-First Century Resistance,Michael Truscello & Ajamu Nangwaya,9781849352789,,AK Press,,,,16.50,,GBP,1,,IN_STOCK,Politics/Current Affairs,,,false,,
Fascism Today. What It Is And How To End It,Shane Burley,9781849352949,,AK Press,,,,12.50,,GBP,1,,IN_STOCK,Fascism/Anti-Fascism,,,false,,
"The Nazis, Capitalism, and the Working Class",Donny Gluckstein,9781608461370,,Haymarket Books,,,,19.99,,GBP,1,,IN_STOCK,Fascism/Anti-Fascism,,,false,,
The Political Economy of Racism,Melvin Leiman,9781608460663,,Haymarket Books,,,,21.99,,GBP,1,,IN_STOCK,Fascism/Anti-Fascism,,,false,,
Fighting Fascism. How to Struggle and How to Win,Clara Zetkin,9781608468522,,Haymarket Books,,,,,,,,,,Fascism/Anti-Fascism,,,false,,
No Planet B. A teen Vogue Guide to the Climate Crisis,Lucy Diavolo (ed),9781642592597,,Haymarket Books,,,,14.99,,GBP,1,,IN_STOCK,Ecology/Environment,,,false,,
"This System is Killing Us. Land Grabbing, the Green Economy & Ecological Conflict",,9780745348827,,Pluto Press,,,,16.99,,GBP,1,,IN_STOCK,Ecology/Environment,,,false,,
Practicing Social Ecology. From Bookchin to Rojava and Beyond,Eleanor Finley,9780745346908,,Pluto Press,,,,16.99,,GBP,2,,IN_STOCK,Ecology/Environment,,,false,,
The Solutions are Already Here. Tactics for Ecological Revolution from Below.,Peter Genderloos,9780745345116,,Pluto Press,,,,16.99,,GBP,1,,IN_STOCK,Ecology/Environment,,,false,,
Ecosocialism. A Radical Alternative to Capitalist Catastrophe,Michael Lowy,9781608464715,,Haymarket Books,,,,16.99,,GBP,1,,IN_STOCK,Ecology/Environment,,,false,,
The Big Heat. Earth on the Brink,Jeffrey St. Clair & Joshua Frank,9781849353366,,Counter Punch & AK Press,,,,15.00,,GBP,1,,IN_STOCK,Ecology/Environment,,,false,,
"Abolition Feminisms Vol. 1. Organizing, Survival, and Transformative Practice","Alisa Bierria, Jakeya Caruthers & Brooke Lober (eds)",9781642596946,,Haymarket Books,,,,19.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
Abolition Feminisms Vol. 2. Feminist ruptures against the Carceral State,"Alisa Bierria, Jakeya Caruthers & Brooke Lober (eds)",9781642598452,,,,,,16.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
Striking Women. Struggles & Strategies of South Asian Women Workers from Grunwick to Gate Gourmet,Sundari Anitha & Ruth Pearson,9781912064861,,Lawrence & Wishart,,,,18.00,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
Women and the Politics of Class,Joanna Brenner,9781583670101,,Monthly Review Press,,,,16.95,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
Pit Women. Coal Communities in Northern England in the Early Twentieth Century.,Griselda Carr,9780850364958,,Merlin Press,,,,13.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
Abolition. Feminism. Now,"Angela Davis, Gina Dent, Erica R. Meiners & Beth E. Richie",9781642592580,,Haymarket Books,,,,24.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
"The Kurdish Women's Movement. History, Theory, Practice",Dilar Dirik,9780745341941,,Pluto Press,,,,18.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
"Rosa Luxemburg, Women's Liberation, and Marx's Philosophy of Revolution",Raya Dunayevskaya,9781252061899,,University of Illinois Press,,,,19.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
Reproductive Rights and Wrongs. The Global Politics of Population Control,Betsy Hartmann,9781608467334,,Haymarket Books,,,,21.99,,GBP,2,,IN_STOCK,Feminism/Women's Studies,,,false,,
The Purple Color of Kurdish Politics. Women Politicians Write From Prison,Gultan Kisanak,9780745347080,,Pluto Press,,,,14.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
"Enemy Feminisms. TERFS, Policewomen 7 Girlbosses Against Liberation",Sophie Lewis,9788888902493,,Haymarket Books,,,,14.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
Kurdish Women's Stories,Houzan Mahmoud (ed),9780745341149,,Pluto Press,,,,16.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
"Women, Resistance and Revolution. A History of Women and Revolution in the Modern World",Sheila Rowbotham,9781781681466,,Verso,,,,19.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
Turn the World Inside Out. The Emergence of Nurturance Culture,Nora Samaran,9781849353588,,AK Press,,,,9.95,,GBP,2,,IN_STOCK,Feminism/Women's Studies,,,false,,
"Feminist Freedom Warriors. Genealogies, Justice, Politics, and Hope",Chandra Talpade Mohanty & Linda E. Carty,9781608468973,,Haymarket Books,,,,15.99,,GBP,3,,IN_STOCK,Feminism/Women's Studies,,,false,,
How We Get Free. Black Feminism and the Combahee River Collective,Keeanga-Yamahtta Taylor (ed),9781608468553,,Haymarket Books,,,,8.00,,GBP,2,,IN_STOCK,Feminism/Women's Studies,,,false,,
The Women Incendiaries,Edith Thomas,9781931859462,,Haymarket Books,,,,16.99,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
Love With Accountability. Digging Up the Roots of Child Sexual Abuse,Aishah Shahidah Simmons (ed),9781849353526,,AK Press,,,,17.00,,GBP,1,,IN_STOCK,Feminism/Women's Studies,,,false,,
A Palestine Reader (Incomplete).,,9781914567490,,Active Distribution,,,,5.00,,GBP,2,,IN_STOCK,Palestine,,,false,,
Voice of the Nakba. A Living History of Palestine,Diana Allan (ed),9780745342917,,Pluto Press,,,,22.99,,GBP,2,,IN_STOCK,Palestine,,,false,,
Light in Gaza. Writings Born of Fire,"Jehad Abusalim, Jennifer Bing & Michael Merryman (eds)",9781642596991,,Haymarket Books,,,,21.99,,GBP,1,,IN_STOCK,Palestine,,,false,,
By Theft and Murder: A Beginners Guide to the Occupation of Palestine,Ted Curtis,9780952574439,,Spare Change Books,,,,10,,GBP,3,,IN_STOCK,Palestine,,,false,,
Perfect Victims and the Reality of Appeal,Mohammed El-Kurd,9798888903155,,Haymarket Books,,,,12.99,,GBP,2,,IN_STOCK,Palestine,,,false,,
Moral Abdication. How the World Failed to Stop the Destruction of Gaza,Didier Fassin,9781804299678,,Verso,,,,9.99,,GBP,4,,IN_STOCK,Palestine,,,false,,
"Decolonizing Israel, Liberating Palestine. Zionism, Settler Colonialism, and the Case for One Democratic State",Jeff Halper,9780745343396,,Pluto Press,,,,14.99,,GBP,2,,IN_STOCK,Palestine,,,false,,
"War Against the People. Israel, the Palestinians and Global Pacification",Jeff Halper,9780745334301,,Pluto Press,,,,16.99,,GBP,1,,IN_STOCK,Palestine,,,false,,
Leila Khaled. Icon of Palestinian Liberation,Sarah Irving,9780745329512,,Pluto Press,,,,16.99,,GBP,1,,IN_STOCK,Palestine,,,false,,
The Palestine Laboratory. How Israel Exports the Technology of Occupation Around the World,Antony Loewenstein,9781839762093,,Verso,,,,12.99,,GBP,4,,IN_STOCK,Palestine,,,false,,
The Destruction of Palestine is the Destruction of the Earth,Andreas Malm,9781836740070,,Verso,,,,9.99,,GBP,5,,IN_STOCK,Palestine,,,false,,
Vagabonds 006. To See In the Dark. Palestine and Visual Activism Since October 7,Nicholas Mirzoeff,9780745351155,,Pluto Press,,,,14.99,,GBP,1,,IN_STOCK,Palestine,,,false,,
Israel/Palestine. How to End the War of 1948,Tanya Reinhart,9781583226513,,Seven Stories,,,,9.99,,GBP,2,,IN_STOCK,Palestine,,,false,,
Unsilencing Gaza. Reflections on Resistance,Sara Roy,9780745341378,,Pluto Press,,,,25.99,,GBP,2,,IN_STOCK,Palestine,,,false,,
Peace Under Fire. Israel/Palestine and the International Solidarity Movement,Josie Sandercock et. al. (eds),9781844675012,,Verso,,,,15.00,,GBP,1,,IN_STOCK,Palestine,,,false,,
Interviews With Radical Palestinian Women,Shoal Collective (ed),9781914567070,,Active Distribution,,,,6.00,,GBP,1,,IN_STOCK,Palestine,,,false,,
Cracks in the Wall. Beyond Apartheid in Palestine/Israel,Ben White,9780745337616,,Pluto Press,,,,,,,,,,Palestine,,,false,,
Austerity Ireland. The Failure of Irish Capitalism,Kieran Allen & Brian O'Boyle,9780745334011,,Pluto Press,,,,24.99,,GBP,1,,IN_STOCK,Irish History & Politics,,,false,,
Hesitant Comrades. The Irish Revolution and the British Labour Movement,Geoffrey Bell,9780745336602,,Pluto Press,,,,24.99,,GBP,1,,IN_STOCK,Irish History & Politics,,,false,,
People's Champion. The Life of Alexander Bowman. Pioneer of Labour Politics in Ireland,,9780901905826,,UHF,,,,9.99,,GBP,1,,IN_STOCK,Irish History & Politics,,,false,,
Ireland: The Promise of Socialism,"Joe Craig, John McAnulty & Paul Flannigan",9780952890607,,Socialist Democracy Publications,,,,5.00,,GBP,2,,IN_STOCK,Irish History & Politics,,,false,,
Repealed: Ireland's Unfinished Fight for Reproductive Rights,Camilla Fitzsimons & Sinéad Kennedy,9780745344270,,Pluto Press,,,,18.99,,GBP,1,,IN_STOCK,Irish History & Politics,,,false,,
Fragments of Victory. The Contemporary Irish Left,Oisín Gilmore & David Landy (eds),9780745348759,,Pluto Press,,,,18.99,,GBP,7,,IN_STOCK,Irish History & Politics,,,false,,
"The Hidden Famine. Hunger, Poverty & Sectarianism in Belfast 1840-50",Christine Kinealy & Gerard MacAtasney,9780745313719,,,,,,29.99,,GBP,1,,IN_STOCK,Irish History & Politics,,,false,,
Struggle or Starve. Working-Class Unity in Belfast's 1932 Outdoor Relief Riots,Seán Mitchell,9781608466788,,Haymarket Books,,,,14.99,,GBP,3,,IN_STOCK,Irish History & Politics,,,false,,
War and an Irish Town,Eamonn McCann,9781608469741,,Haymarket Books,,,,14.99,,GBP,1,,IN_STOCK,Irish History & Politics,,,false,,
"Northern Ireland After the Good Friday Agreement. Victims, Grievance and Blame",Mike Morrissey & Marie Smyth,9780745316734,,Pluto Press,,,,29.99,,GBP,1,,IN_STOCK,Irish History & Politics,,,false,,
"Labouring Beside Lough Erne. A Study of the Fermanagh Labour Movement, 1826-1932.",,9781916448926,,"Jim Quinn, Fermanagh Council of Trade Unions & Umiskin Press",,,,5.00,,GBP,17,,IN_STOCK,Irish History & Politics,,,false,,
